Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,,,,2023-01-26 13:17:46,2023-01-26 13:18:58,1m - 11.826s,PASSED
,,,,,,,
Test Cases/TC001 - Login/L001 - Login (Positive),,,,2023-01-26 13:17:46,2023-01-26 13:18:11,24.800s,PASSED
"startApplication(""C:\Users\Muhifa\Downloads\Android-MyDemoAppRN.1.2.0.build-231.apk"", true)",,,,2023-01-26 13:17:47,2023-01-26 13:18:03,16.388s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView""), 0)",,,,2023-01-26 13:18:03,2023-01-26 13:18:04,0.864s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Log In""), 0)",,,,2023-01-26 13:18:04,2023-01-26 13:18:06,1.803s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText""), ""bob@example.com"", 0)",,,,2023-01-26 13:18:06,2023-01-26 13:18:08,2.124s,PASSED
"setEncryptedText(findTestObject(""Object Repository/android.widget.EditText (1)""), ""dbXIBZ66cuht4KTRMDozZw=="", 0)",,,,2023-01-26 13:18:08,2023-01-26 13:18:09,1.173s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Login""), 0)",,,,2023-01-26 13:18:09,2023-01-26 13:18:10,0.747s,PASSED
closeApplication(),,,,2023-01-26 13:18:10,2023-01-26 13:18:11,1.165s,PASSED
,,,,,,,
Test Cases/TC001 - Login/L002 - Login with Locked Account (Positive),,,,2023-01-26 13:18:11,2023-01-26 13:18:35,23.670s,PASSED
"startApplication(""C:\Users\Muhifa\Downloads\Android-MyDemoAppRN.1.2.0.build-231.apk"", true)",,,,2023-01-26 13:18:12,2023-01-26 13:18:26,14.827s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (1)""), 0)",,,,2023-01-26 13:18:26,2023-01-26 13:18:27,0.676s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Log In (1)""), 0)",,,,2023-01-26 13:18:27,2023-01-26 13:18:29,1.782s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText (2)""), ""alice@example.com"", 0)",,,,2023-01-26 13:18:29,2023-01-26 13:18:31,2.170s,PASSED
"setEncryptedText(findTestObject(""Object Repository/android.widget.EditText (3)""), ""dbXIBZ66cuht4KTRMDozZw=="", 0)",,,,2023-01-26 13:18:31,2023-01-26 13:18:32,1.164s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Login (1)""), 0)",,,,2023-01-26 13:18:32,2023-01-26 13:18:34,1.360s,PASSED
closeApplication(),,,,2023-01-26 13:18:34,2023-01-26 13:18:35,1.003s,PASSED
,,,,,,,
Test Cases/TC001 - Login/L003 - Login with wrong account,,,,2023-01-26 13:18:35,2023-01-26 13:18:58,22.996s,PASSED
"startApplication(""C:\Users\Muhifa\Downloads\Android-MyDemoAppRN.1.2.0.build-231.apk"", true)",,,,2023-01-26 13:18:35,2023-01-26 13:18:50,14.945s,PASSED
"tap(findTestObject(""Object Repository/android.widget.ImageView (3)""), 0)",,,,2023-01-26 13:18:50,2023-01-26 13:18:51,0.735s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Log In (3)""), 0)",,,,2023-01-26 13:18:51,2023-01-26 13:18:53,1.768s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText (7)""), ""iqbal@example.com"", 0)",,,,2023-01-26 13:18:53,2023-01-26 13:18:55,2.097s,PASSED
"setText(findTestObject(""Object Repository/android.widget.EditText (8)""), ""qwerty123"", 0)",,,,2023-01-26 13:18:55,2023-01-26 13:18:56,1.184s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView - Login (3)""), 0)",,,,2023-01-26 13:18:56,2023-01-26 13:18:57,0.760s,PASSED
closeApplication(),,,,2023-01-26 13:18:57,2023-01-26 13:18:58,0.875s,PASSED
